ID,Title,Duration,Rating,Language,Country,ReleaseYear,Genres,StoryLine,Rated,Director
,Batman Returns,2h 6m,7.1,,,1992,Action,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",12,Tim Burton
,The Virgin Suicides,1h 37m,7.2,,,1999,Drama,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s.",15,Sofia Coppola
,28 Days Later,1h 53m,7.5,,,2002,Drama,"Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary.",18,Danny Boyle
,The Life Aquatic with Steve Zissou,1h 59m,7.2,,,2004,Adventure,"With a plan to exact revenge on a legendary shark that killed his partner, oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.",15,Wes Anderson
,Requiem for a Dream,1h 42m,8.3,,,2000,N/A,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,18,Darren Aronofsky
,The Italian Job,1h 39m,7.2,,,1969,Comedy,A comic caper movie about a plan to steal a gold shipment from the streets of Turin by creating a traffic jam.,PG,Peter Collinson
,Get Carter,1h 52m,7.3,,,1971,N/A,"When his brother dies under mysterious circumstances in a car accident, London gangster Jack Carter travels to Newcastle to investigate.",18,Mike Hodges
,The Rules of Attraction,1h 50m,6.6,,,2002,Romance,"The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.",18,Roger Avary
,Zodiac,2h 37m,7.7,,,2007,Psychological Thriller,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",15,David Fincher
,Hot Fuzz,2h 1m,7.8,,,2007,Comedy,"An overachieving London police sergeant is transferred to a village where the easygoing officers object to his fervor for regulations, all while a string of grisly murders strikes the town.",15,Edgar Wright
,"O Brother, Where Art Thou?",1h 47m,7.7,,,2000,Period Drama,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",12,"Joel Coen, Ethan Coen"
,Braindead,1h 44m,7.5,,,1992,Slapstick,"A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.",18,Peter Jackson
,Dumb and Dumber,1h 47m,7.3,,,1994,Slapstick,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.",12,"Peter Farrelly, Bobby Farrelly"
,The Jungle Book,1h 18m,7.6,,,1967,Quest,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,U,Wolfgang Reitherman
,The Bourne Ultimatum,1h 55m,8.0,,,2007,Thriller,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,12,Paul Greengrass
,Shallow Grave,1h 29m,7.2,,,1994,Thriller,Three friends discover their new flatmate dead but loaded with cash.,18,Danny Boyle
,From Dusk Till Dawn,1h 48m,7.2,,,1996,Vampire Horror,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",18,Robert Rodriguez
,Gone with the Wind,3h 58m,8.2,,,1939,Romantic Epic,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,PG,"Victor Fleming, George Cukor, Sam Wood"
,American Pie,1h 35m,7.0,,,1999,N/A,Four teenage boys enter a pact to lose their virginity by prom night.,15,"Paul Weitz, Chris Weitz"
,Slumdog Millionaire,2h,8.0,,,2008,Drama,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.",15,"Danny Boyle, Loveleen Tandan"
,On the Waterfront,1h 48m,8.1,,,1954,N/A,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",PG,Elia Kazan
,Snatch,1h 44m,8.2,,,2000,Comedy,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",18,Guy Ritchie
,The Naked Gun: From the Files of Police Squad!,1h 25m,7.6,,,1988,Crime,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,15,David Zucker
,National Lampoon's Animal House,1h 49m,7.4,,,1978,N/A,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",AA,John Landis
,Three Kings,1h 54m,7.1,,,1999,Action,"In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.",15,David O. Russell
,In Bruges,1h 47m,7.9,,,2008,Drama,"After a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",18,Martin McDonagh
,Toy Story 3,1h 43m,8.3,,,2010,Adventure,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",PG,Lee Unkrich
,Cloverfield,1h 25m,7.0,,,2008,Monster Horror,A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,15,Matt Reeves
,Dawn of the Dead,2h 7m,7.8,,,1978,Horror,"During an escalating zombie epidemic, two Philadelphia SWAT team members, a traffic reporter and his TV executive girlfriend seek refuge in a secluded shopping mall.",X,George A. Romero
,Quiz Show,2h 13m,7.5,,,1994,N/A,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",15,Robert Redford
,A Bittersweet Life,1h 59m,7.5,,,2005,Thriller,Things go wrong for a high ranking mobster when he doesn't follow his boss's orders.,18,Kim Jee-woon
,The Sixth Sense,1h 47m,8.2,,,1999,Drama,A child psychologist starts treating a young boy with a disturbing secret.,15,M. Night Shyamalan
,The Long Good Friday,1h 54m,7.6,,,1980,Mystery,"An up-and-coming gangster is tested by the insurgence of an unknown, very powerful threat.",X,John Mackenzie
,Juno,1h 36m,7.4,,,2007,Teen Drama,"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child.",12A,Jason Reitman
,Planet of the Apes,1h 52m,8.0,,,1968,Time Travel,"After being kept in hypersleep during a long expedition into deep space, an astronaut crew crash-lands in the 40th century on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.",PG,Franklin J. Schaffner
,Kiss Kiss Bang Bang,1h 43m,7.5,,,2005,Comedy,"After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery.",15,Shane Black
,Jackie Brown,2h 34m,7.5,,,1997,Drama,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the illegal arms dealer she works for, she must find a way to secure her future without getting killed.",15,Quentin Tarantino
,Sideways,2h 7m,7.5,,,2004,Comedy,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",15,Alexander Payne
,Edward Scissorhands,1h 45m,7.9,,,1990,Drama,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,12,Tim Burton
,The Thin Red Line,2h 50m,7.6,,,1998,History,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",15,Terrence Malick
,Hotel Rwanda,2h 1m,8.1,,,2004,History,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",12A,Terry George
,Sexy Beast,1h 29m,7.3,,,2000,Drama,"Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them.",18,Jonathan Glazer
,Swingers,1h 36m,7.2,,,1996,N/A,"A wannabe actor has a hard time moving on from a break-up, but he is lucky to have supportive friends.",15,Doug Liman
,Amélie,2h 2m,8.3,,,2001,Comedy,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",15,Jean-Pierre Jeunet
,The Girl with the Dragon Tattoo,2h 32m,7.8,,,2009,Mystery,"Influential industrialist Vanger's niece Harriet disappeared under mysterious circumstances 40 years ago. As a last attempt at solving the case, he hires investigative journalist Mikael Blomkvist.",18,Niels Arden Oplev
,Cinema Paradiso,2h 54m,8.5,,,1988,N/A,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",PG,Giuseppe Tornatore
,Witness for the Prosecution,1h 56m,8.4,,,1957,Crime,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,U,Billy Wilder
,The Apartment,2h 5m,8.3,,,1960,Romantic Comedy,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",PG,Billy Wilder
,Meet the Parents,1h 48m,7.0,,,2000,Romance,"Chicago male nurse and chronic under-achiever Greg Focker meets his charming teacher girlfriend Pam Byrnes' parents Jack and Dina before proposing, but suspicious Jack is an overprotective former CIA agent - every date's worst nightmare.",12,Jay Roach
,The Right Stuff,3h 13m,7.8,,,1983,Drama,"The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred.",15,Philip Kaufman
,Catch Me If You Can,2h 21m,8.1,,,2002,Period Drama,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",12A,Steven Spielberg
,Saturday Night Fever,1h 58m,6.8,,,1977,N/A,"Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco.",18,John Badham
,Anchorman: The Legend of Ron Burgundy,1h 34m,7.1,,,2004,N/A,"In the 1970s, an anchorman's stint as San Diego's top-rated newsreader is challenged when an ambitious newswoman becomes his co-anchor.",12A,Adam McKay
,Happiness,2h 14m,7.7,,,1998,Comedy,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection.",18,Todd Solondz
,Knocked Up,2h 9m,6.9,,,2007,Romance,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",15,Judd Apatow
,District 9,1h 52m,7.9,,,2009,Action,"In a future Earth in which aliens are isolated in a remote ghetto, a government agent finds himself banished there.",15,Neill Blomkamp
,Fahrenheit 9/11,2h 2m,7.5,,,2004,Documentary,Michael Moore's view on what happened to the United States after 9/11 and how the Bush Administration allegedly used the tragic event to push forward its agenda for unjust wars in Afghanistan and Iraq.,15,Michael Moore
,Star Trek,2h 7m,7.9,,,2009,Adventure,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,12A,J.J. Abrams
,Senna,1h 46m,8.5,,,2010,Documentary,"A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34.",12A,Asif Kapadia
,The Raid,1h 41m,7.6,,,2011,Crime,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,18,Gareth Evans
,Brick,1h 50m,7.1,,,2005,Drama,A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.,15,Rian Johnson
,The Lives of Others,2h 17m,8.4,,,2006,Drama,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",15,Florian Henckel von Donnersmarck
,When We Were Kings,1h 28m,7.9,,,1996,Sport,"Boxing documentary on the 1974 world heavyweight championship bout between defending champion, George Foreman, and the underdog challenger, Muhammad Ali.",PG,Leon Gast
,Groundhog Day,1h 41m,8.0,,,1993,Holiday Romance,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",PG,Harold Ramis
,All the President's Men,2h 18m,7.9,,,1976,Workplace Drama,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",AA,Alan J. Pakula
,A Quiet Place,1h 30m,7.5,,,2018,Horror,A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.,15,John Krasinski
,Unbreakable,1h 46m,7.3,,,2000,Thriller,A man learns something extraordinary about himself after a devastating accident.,12,M. Night Shyamalan
,Pan's Labyrinth,1h 58m,8.2,,,2006,Period Drama,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.",15,Guillermo del Toro
,Hugo,2h 6m,7.5,,,2011,Fantasy,"In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",U,Martin Scorsese
,Sunshine,1h 47m,7.2,,,2007,Sci-Fi,A team of international astronauts is sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,15,Danny Boyle
,The King of Kong,1h 19m,8.0,,,2007,N/A,Die-hard gamers compete to break world records on classic arcade games.,PG,Seth Gordon
,The People vs. Larry Flynt,2h 10m,7.3,,,1996,N/A,"The story of controversial pornography publisher Larry Flynt, and how he became a defender of free speech.",18,Milos Forman
,Superbad,1h 53m,7.6,,,2007,Teen Comedy,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,15,Greg Mottola
,Serenity,1h 59m,7.8,,,2005,Sci-Fi,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,15,Joss Whedon
,Night of the Living Dead,1h 36m,7.8,,,1968,Zombie Horror,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the Northeast of the United States.,15,George A. Romero
,Austin Powers: International Man of Mystery,1h 34m,7.0,,,1997,Comedy,A world-class playboy and part-time secret agent from the 1960s emerges after thirty years in a cryogenic state to battle with his nemesis Dr. Evil.,15,Jay Roach
,28 Weeks Later,1h 40m,6.9,,,2007,N/A,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",18,Juan Carlos Fresnadillo
,The Thin Blue Line,1h 41m,7.9,,,1988,N/A,"A film that successfully argued that a man was wrongly convicted for murder by a corrupt justice system in Dallas County, Texas.",15,Errol Morris
,Dog Soldiers,1h 45m,6.8,,,2002,Thriller,A routine military exercise turns into a nightmare in the Scottish wilderness.,15,Neil Marshall
,Dead Poets Society,2h 8m,8.1,,,1989,Drama,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",PG,Peter Weir
,Get Shorty,1h 45m,6.9,,,1995,Crime,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",15,Barry Sonnenfeld
,Bad Santa,1h 32m,7.0,,,2003,Crime,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,15,Terry Zwigoff
,Ghostbusters,1h 45m,7.8,,,1984,Action,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",PG,Ivan Reitman
,Donnie Brasco,2h 7m,7.7,,,1997,Crime,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.,18,Mike Newell
,Top Gun,1h 49m,6.9,,,1986,N/A,"The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick is sent to the school, his reckless attitude and cocky demeanor put him at odds with the other pilots, especially the cool and col...",15,Tony Scott
,500 Days of Summer,1h 35m,7.7,,,2009,Drama,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",12A,Marc Webb
,Chopper,1h 34m,7.1,,,2000,Crime,"Chopper tells the intense story of Mark ""Chopper"" Read, a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book, ""From the Inside"", upon which the film is based, was a best-seller.",18,Andrew Dominik
,The Breakfast Club,1h 37m,7.8,,,1985,Comedy,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.,15,John Hughes
,Grosse Pointe Blank,1h 47m,7.3,,,1997,Comedy,"Professional assassin Martin Blank is sent on a mission to a small Detroit suburb, Grosse Pointe--where, by coincidence, his 10-year high-school reunion party is about to take place.",15,George Armitage
,John Wick: Chapter 3 - Parabellum,2h 10m,7.4,,,2019,Crime,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",15,Chad Stahelski
,The Dirty Dozen,2h 30m,7.7,,,1967,N/A,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",X,Robert Aldrich
,To Kill a Mockingbird,2h 9m,8.3,,,1962,Drama,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,PG,Robert Mulligan
,Harold and Maude,1h 31m,7.9,,,1971,Comedy,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",AA,Hal Ashby
,Waltz with Bashir,1h 30m,8.0,,,2008,History Documentary,An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.,18,Ari Folman
,Shame,1h 41m,7.2,,,2011,N/A,A nymphomaniac's carefully cultivated private life falls apart after his sister arrives for an indefinite stay.,18,Steve McQueen
,Kill Bill: Vol. 2,2h 17m,8.0,,,2004,Action,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",18,Quentin Tarantino
,Pirates of the Caribbean: The Curse of the Black Pearl,2h 23m,8.1,,,2003,Sword & Sandal,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",12A,Gore Verbinski
,Bottle Rocket,1h 31m,6.9,,,1996,Crime,Three friends plan to pull off a simple robbery and go on the run.,15,Wes Anderson
,Star Wars: Episode V - The Empire Strikes Back,2h 4m,8.7,,,1980,Fantasy Epic,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",U,Irvin Kershner
,Jackass: The Movie,1h 25m,6.6,,,2002,Documentary,Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.,18,Jeff Tremaine
,Point Break,2h 2m,7.3,,,1991,Thriller,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,15,Kathryn Bigelow
,The Squid and the Whale,1h 21m,7.3,,,2005,N/A,Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.,15,Noah Baumbach
,Network,2h 1m,8.1,,,1976,N/A,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",AA,Sidney Lumet
,The Irishman,3h 29m,7.8,,,2019,Period Drama,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.",15,Martin Scorsese
,Once Upon a Time in the West,2h 46m,8.5,,,1968,Drama,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,12,Sergio Leone
,RoboCop,1h 42m,7.6,,,1987,Action,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",18,Paul Verhoeven
,Bonnie and Clyde,1h 51m,7.7,,,1967,Action,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",X,Arthur Penn
,"South Park: Bigger, Longer & Uncut",1h 21m,7.7,,,1999,Farce,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",15,Trey Parker
,The Texas Chain Saw Massacre,1h 23m,7.4,,,1974,Splatter Horror,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.",18,Tobe Hooper
,Dodgeball: A True Underdog Story,1h 32m,6.7,,,2004,Sport,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,12A,Rawson Marshall Thurber
,The Skin I Live In,2h,7.6,,,2011,Mystery,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",15,Pedro Almodóvar
,Ruby Sparks,1h 44m,7.2,,,2012,Fantasy,"A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence.",15,"Jonathan Dayton, Valerie Faris"
,Layer Cake,1h 45m,7.3,,,2004,Thriller,A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.,15,Matthew Vaughn
,Rounders,2h 1m,7.3,,,1998,N/A,"A young, reformed gambler must return to playing high stakes poker to help a friend pay off loan sharks, while balancing his relationship with his girlfriend and his commitments to law school.",15,John Dahl
,Superman,2h 23m,7.4,,,1978,Adventure,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",PG,Richard Donner
,Day of the Dead,1h 41m,7.1,,,1985,Thriller,"As the world is overrun by zombies, a group of scientists and military personnel sheltering in an underground bunker in Florida must decide on how they should deal with the undead horde.",18,George A. Romero
,Marathon Man,2h 5m,7.4,,,1976,N/A,"After the murder of his older brother, a New York history student is hounded by shadowy government agents on the trail of a Nazi war criminal who is trying to retrieve smuggled diamonds.",X,John Schlesinger
,Midnight Cowboy,1h 53m,7.8,,,1969,N/A,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",X,John Schlesinger
,Life of Brian,1h 34m,8.0,,,1979,Comedy,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",AA,Terry Jones
,Raising Arizona,1h 34m,7.3,,,1987,Crime,"When a childless couple--an ex-con and an ex-cop--decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",15,"Joel Coen, Ethan Coen"
,Moon,1h 37m,7.8,,,2009,Mystery,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",15,Duncan Jones
,Clerks,1h 32m,7.7,,,1994,N/A,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",18,Kevin Smith
,Drag Me to Hell,1h 39m,6.6,,,2009,N/A,"A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.",15,Sam Raimi
,Brazil,2h 12m,7.8,,,1985,Steampunk,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,15,Terry Gilliam
,The Bourne Supremacy,1h 48m,7.7,,,2004,Mystery,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",12A,Paul Greengrass
,Three Colours: Red,1h 39m,8.1,,,1994,Drama,A model discovers a retired judge is keen on invading people's privacy.,15,Krzysztof Kieslowski
,A History of Violence,1h 36m,7.4,,,2005,Crime,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.",18,David Cronenberg
,The Hangover,1h 40m,7.7,,,2009,N/A,Three buddies wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing. They must make their way around the city in order to find their friend in time for his wedding.,18,Todd Phillips
,Scott Pilgrim vs. the World,1h 52m,7.6,,,2010,Teen Fantasy,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",12A,Edgar Wright
,The Producers,1h 28m,7.5,,,1967,N/A,A stage-play producer devises a plan to make money by producing a sure-fire flop.,PG,Mel Brooks
,Animal Kingdom,1h 53m,7.2,,,2010,Crime,A seventeen-year-old navigates his survival amongst an explosive criminal family and the detective who thinks he can save him.,15,David Michôd
,The Hudsucker Proxy,1h 51m,7.2,,,1994,Drama,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,PG,"Joel Coen, Ethan Coen"
,Jerry Maguire,2h 19m,7.3,,,1996,Workplace Drama,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.",15,Cameron Crowe
,Speed,1h 56m,7.3,,,1994,Adventure,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,15,Jan de Bont
,True Grit,1h 50m,7.6,,,2010,N/A,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,15,"Ethan Coen, Joel Coen"
,Cool Hand Luke,2h 7m,8.0,,,1967,Drama,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",A,Stuart Rosenberg
,Zombieland,1h 28m,7.5,,,2009,Zombie Horror,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",15,Ruben Fleischer
,American: The Bill Hicks Story,1h 42m,7.7,,,2009,Comedy,"Photo-animated feature documentary, uniquely narrated by the 10 people who knew Bill best.",15,"Matt Harlock, Paul Thomas"
,Crash,1h 52m,7.7,,,2004,Thriller,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",15,Paul Haggis
,The Graduate,1h 46m,8.0,,,1967,Comedy,A disillusioned college graduate finds himself torn between his older lover and her daughter.,X,Mike Nichols
,A Bronx Tale,2h 1m,7.8,,,1993,Drama,"An intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss.",18,Robert De Niro
,Let the Right One In,1h 54m,7.8,,,2008,Psychological Drama,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",15,Tomas Alfredson
,As Good as It Gets,2h 19m,7.7,,,1997,Romance,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",15,James L. Brooks
,Das Boot,2h 29m,8.4,,,1981,N/A,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,AA,Wolfgang Petersen
,A Serious Man,1h 46m,7.0,,,2009,Quirky Comedy,"Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Despite seeking meaning and answers amidst his turmoils, he seems to keep sinking.",15,"Ethan Coen, Joel Coen"
,The Fly,1h 36m,7.6,,,1986,Horror,A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,18,David Cronenberg
,The Wrestler,1h 49m,7.9,,,2008,Sport,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",15,Darren Aronofsky
,Titanic,3h 14m,7.9,,,1997,Romantic Epic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",12,James Cameron
,Finding Nemo,1h 40m,8.2,,,2003,Quest,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",U,"Andrew Stanton, Lee Unkrich"
