ID,Title,Duration,Rating,Language,Country,ReleaseYear,Genres,StoryLine,Rated,Director
,Once Upon a Time in America,3h 49m,8.3,,,1984,Period Drama,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",18,Sergio Leone
,"Lock, Stock and Two Smoking Barrels",1h 47m,8.1,,,1998,Crime,"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",18,Guy Ritchie
,The Truman Show,1h 43m,8.2,,,1998,Satire,An insurance salesman discovers his whole life is actually a reality TV show.,PG,Peter Weir
,Toy Story,1h 21m,8.3,,,1995,Urban Adventure,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,PG,John Lasseter
,Alien,1h 57m,8.5,,,1979,Horror,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",X,Ridley Scott
,Rushmore,1h 33m,7.6,,,1998,Comedy,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta.",15,Wes Anderson
,Seven,2h 7m,8.6,,,1995,Police Procedural,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",18,David Fincher
,Good Will Hunting,2h 6m,8.3,,,1997,Romance,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",15,Gus Van Sant
,Aliens,2h 17m,8.4,,,1986,Action,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",18,James Cameron
,The Exorcist,2h 2m,8.1,,,1973,N/A,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",X,William Friedkin
,One Flew Over the Cuckoo's Nest,2h 13m,8.7,,,1975,N/A,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",X,Milos Forman
,Chinatown,2h 10m,8.1,,,1974,Psychological Thriller,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",X,Roman Polanski
,Casino,2h 58m,8.2,,,1995,True Crime,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",18,Martin Scorsese
,True Romance,1h 59m,7.9,,,1993,Drama,"In Detroit, a pop-culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple.",18,Tony Scott
,Gladiator,2h 35m,8.5,,,2000,Period Drama,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,15,Ridley Scott
,Raiders of the Lost Ark,1h 55m,8.4,,,1981,Quest,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",PG,Steven Spielberg
,Miller's Crossing,1h 55m,7.7,,,1990,Crime,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",18,"Joel Coen, Ethan Coen"
,Being John Malkovich,1h 53m,7.7,,,1999,Showbiz Drama,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,15,Spike Jonze
,Die Hard,2h 12m,8.2,,,1988,Thriller,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,18,John McTiernan
,Casablanca,1h 42m,8.5,,,1942,N/A,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,U,Michael Curtiz
,Kick-Ass,1h 57m,7.6,,,2010,Action,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",15,Matthew Vaughn
,The Prestige,2h 10m,8.5,,,2006,Drama,Rival 19th-century magicians engage in a bitter battle for trade secrets.,12A,Christopher Nolan
,Inglourious Basterds,2h 33m,8.4,,,2009,Drama,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",18,Quentin Tarantino
,Evil Dead II,1h 24m,7.7,,,1987,Supernatural Horror,"Ash Williams, the lone survivor of an earlier onslaught of flesh-possessing spirits, holes up in a cabin with a group of strangers while the demons continue their attack.",18,Sam Raimi
,Jurassic Park,2h 7m,8.2,,,1993,Adventure,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",PG,Steven Spielberg
,Batman Begins,2h 20m,8.2,,,2005,Tragedy,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",12A,Christopher Nolan
,The Green Mile,3h 9m,8.6,,,1999,Tragedy,"Paul Edgecomb, the head guard of a prison, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a special gift.",18,Frank Darabont
,The French Connection,1h 44m,7.7,,,1971,Action,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",X,William Friedkin
,Unforgiven,2h 10m,8.2,,,1992,Western,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,15,Clint Eastwood
,Drive,1h 40m,7.8,,,2011,Drama,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,18,Nicolas Winding Refn
,The Shining,2h 26m,8.4,,,1980,Drama,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",X,Stanley Kubrick
,The Evil Dead,1h 25m,7.4,,,1981,Teen Horror,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",18,Sam Raimi
,Forrest Gump,2h 22m,8.8,,,1994,N/A,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",12,Robert Zemeckis
,The Thing,1h 49m,8.2,,,1982,Supernatural Horror,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,X,John Carpenter
,Citizen Kane,1h 59m,8.3,,,1941,N/A,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",A,Orson Welles
